ext_code,Lv1,Lv2,Lv3,USE_CODE,USE_NM
160101,화물차내비전용,차고지/휴게소,고속도로 화물차 휴게소,1,화물차/일반
160102,화물차내비전용,차고지/휴게소,항만/국도 화물차 휴게소,2,화물차 전용
160103,화물차내비전용,차고지/휴게소,화물차 전용 휴게소,2,화물차 전용
160104,화물차내비전용,차고지/휴게소,공영 차고지,2,화물차 전용
160105,화물차내비전용,차고지/휴게소,고속도로 휴게소,0,일반
160106,화물차내비전용,차고지/휴게소,국도/지방도 휴게소,0,일반
160201,화물차내비전용,화물차정비,현대상용차,1,서비스센터
160202,화물차내비전용,화물차정비,기아상용차,1,서비스센터
160203,화물차내비전용,화물차정비,타타대우상용차,1,서비스센터
160204,화물차내비전용,화물차정비,메르세데스벤츠트럭,1,서비스센터
160205,화물차내비전용,화물차정비,볼보트럭,1,서비스센터
160206,화물차내비전용,화물차정비,스카니아,1,서비스센터
160207,화물차내비전용,화물차정비,이베코,1,서비스센터
160208,화물차내비전용,화물차정비,만트럭버스,1,서비스센터
160209,화물차내비전용,화물차정비,나비스타,1,서비스센터
160210,화물차내비전용,화물차정비,이스즈,1,서비스센터
160211,화물차내비전용,화물차정비,특장차,2,서비스센터
160212,화물차내비전용,화물차정비,기타,2,서비스센터
160301,화물차내비전용,터미널/단체,내륙 물류 단지 터미널,1,물류터미널
160302,화물차내비전용,터미널/단체,일반 물류 터미널,1,물류터미널
160303,화물차내비전용,터미널/단체,기타 화물 터미널,2,물류터미널
